station,mode,time,stage,reference,satellite,mean,variance,fractional,perr,selected,provisional_selected
MARS,ar,2024-07-17T00:23:30,USER_IF_L1_SD_CONDITIONAL,G12,G32,55.7775,10.7693,-0.22248,0.910514,0,0
MARS,ar,2024-07-17T00:24:00,USER_IF_WL_SD,G12,G06,19.9694,0.0999787,-0.0305795,0.142441,0,0
MARS,ar,2024-07-17T00:24:00,USER_IF_WL_SD,G12,G19,19.9501,0.0718328,-0.0499028,0.061343,0,0
MARS,ar,2024-07-17T00:24:00,USER_IF_WL_SD,G12,G24,-8.03727,0.0183678,-0.0372723,3.82987e-06,1,1
MARS,ar,2024-07-17T00:24:00,USER_IF_WL_SD,G12,G25,4.89459,0.019068,-0.105408,3.22161e-05,1,1
MARS,ar,2024-07-17T00:24:00,USER_IF_WL_SD,G12,G32,4.95813,0.028277,-0.0418656,0.000372154,1,1
MARS,ar,2024-07-17T00:24:00,USER_IF_L1_SD_CONDITIONAL,G12,G24,236.553,2.39246,-0.446808,0.821384,0,0
MARS,ar,2024-07-17T00:24:00,USER_IF_L1_SD_CONDITIONAL,G12,G25,136.624,6.01699,-0.375638,0.884946,0,0
MARS,ar,2024-07-17T00:24:00,USER_IF_L1_SD_CONDITIONAL,G12,G32,55.5184,10.6372,-0.481649,0.910382,0,0
MARS,ar,2024-07-17T00:24:30,USER_IF_WL_SD,G12,G06,19.9835,0.0934528,-0.0164826,0.121555,0,0
MARS,ar,2024-07-17T00:24:30,USER_IF_WL_SD,G12,G19,19.9412,0.0678897,-0.0588103,0.0522391,0,0
MARS,ar,2024-07-17T00:24:30,USER_IF_WL_SD,G12,G24,-8.03616,0.0172585,-0.03616,1.63816e-06,1,1
MARS,ar,2024-07-17T00:24:30,USER_IF_WL_SD,G12,G25,4.8863,0.0178677,-0.113705,2.02337e-05,1,1
MARS,ar,2024-07-17T00:24:30,USER_IF_WL_SD,G12,G32,4.95396,0.0264791,-0.0460442,0.000222561,1,1
MARS,ar,2024-07-17T00:24:30,USER_IF_L1_SD_CONDITIONAL,G12,G24,236.338,2.32399,0.337729,0.817209,0,0
MARS,ar,2024-07-17T00:24:30,USER_IF_L1_SD_CONDITIONAL,G12,G25,136.102,5.94131,0.101998,0.883655,0,0
MARS,ar,2024-07-17T00:24:30,USER_IF_L1_SD_CONDITIONAL,G12,G32,55.4503,10.5269,0.450329,0.909965,0,0
DYNG,ar,2024-07-17T00:10:30,USER_IF_WL_SD,G24,G06,-4.00139,0.618646,-0.00139116,0.641348,0,0
DYNG,ar,2024-07-17T00:10:30,USER_IF_WL_SD,G24,G12,-28.0111,0.265132,-0.0110985,0.452241,0,0
DYNG,ar,2024-07-17T00:10:30,USER_IF_WL_SD,G24,G19,30.7283,0.562662,-0.271706,0.636063,0,0
DYNG,ar,2024-07-17T00:10:30,USER_IF_WL_SD,G24,G25,0.0412029,0.512481,0.0412029,0.606272,0,0
DYNG,ar,2024-07-17T00:10:30,USER_IF_WL_SD,G24,G32,-11.5936,1.25197,0.406423,0.756066,0,0
DYNG,ar,2024-07-17T00:17:00,USER_IF_WL_SD,G24,G06,-3.84493,0.593185,0.155069,0.637424,0,0
DYNG,ar,2024-07-17T00:17:00,USER_IF_WL_SD,G24,G12,-28.0222,0.255494,-0.0221524,0.442224,0,0
DYNG,ar,2024-07-17T00:17:00,USER_IF_WL_SD,G24,G19,30.9236,0.621399,-0.0763761,0.642982,0,0
DYNG,ar,2024-07-17T00:17:00,USER_IF_WL_SD,G24,G25,0.0439855,0.459917,0.0439855,0.584473,0,0
DYNG,ar,2024-07-17T00:17:00,USER_IF_WL_SD,G24,G32,-10.9707,1.09061,0.0293495,0.729932,0,0
DYNG,ar,2024-07-17T00:17:30,USER_IF_WL_SD,G24,G06,-3.95003,0.296325,0.0499748,0.482882,0,0
DYNG,ar,2024-07-17T00:17:30,USER_IF_WL_SD,G24,G12,-28.0059,0.12775,-0.00589385,0.220851,0,0
DYNG,ar,2024-07-17T00:17:30,USER_IF_WL_SD,G24,G19,30.9641,0.312407,-0.0358572,0.495822,0,0
DYNG,ar,2024-07-17T00:17:30,USER_IF_WL_SD,G24,G25,0.0530359,0.229303,0.0530359,0.412832,0,0
DYNG,ar,2024-07-17T00:17:30,USER_IF_WL_SD,G24,G32,-10.8254,0.543003,0.174565,0.622514,0,0
DYNG,ar,2024-07-17T00:18:00,USER_IF_WL_SD,G24,G06,-3.93731,0.196015,0.0626853,0.366532,0,0
DYNG,ar,2024-07-17T00:18:00,USER_IF_WL_SD,G24,G12,-27.9474,0.0851531,0.0526126,0.100147,0,0
DYNG,ar,2024-07-17T00:18:00,USER_IF_WL_SD,G24,G19,31.0113,0.209412,0.0113342,0.383966,0,0
DYNG,ar,2024-07-17T00:18:00,USER_IF_WL_SD,G24,G25,0.0930733,0.152411,0.0930733,0.290498,0,0
DYNG,ar,2024-07-17T00:18:00,USER_IF_WL_SD,G24,G32,-10.8767,0.360416,0.123288,0.535042,0,0
DYNG,ar,2024-07-17T00:18:30,USER_IF_WL_SD,G24,G06,-3.91719,0.146298,0.0828076,0.274972,0,0
DYNG,ar,2024-07-17T00:18:30,USER_IF_WL_SD,G24,G12,-27.9341,0.0638617,0.0658937,0.043356,0,0
DYNG,ar,2024-07-17T00:18:30,USER_IF_WL_SD,G24,G19,30.9959,0.15794,-0.00414405,0.292968,0,0
DYNG,ar,2024-07-17T00:18:30,USER_IF_WL_SD,G24,G25,0.0605618,0.113981,0.0605618,0.187888,0,0
DYNG,ar,2024-07-17T00:18:30,USER_IF_WL_SD,G24,G32,-10.8709,0.268998,0.12912,0.464478,0,0
DYNG,ar,2024-07-17T00:19:00,USER_IF_WL_SD,G24,G06,-3.91813,0.116524,0.0818729,0.199416,0,0
DYNG,ar,2024-07-17T00:19:00,USER_IF_WL_SD,G24,G12,-27.9769,0.0510904,0.0231206,0.015146,0,0
DYNG,ar,2024-07-17T00:19:00,USER_IF_WL_SD,G24,G19,30.9185,0.127072,-0.0815304,0.227848,0,0
DYNG,ar,2024-07-17T00:19:00,USER_IF_WL_SD,G24,G25,-0.0138303,0.0909306,-0.0138303,0.113745,0,0
DYNG,ar,2024-07-17T00:19:00,USER_IF_WL_SD,G24,G32,-10.9494,0.214242,0.0505769,0.392604,0,0
DYNG,ar,2024-07-17T00:19:30,USER_IF_WL_SD,G24,G06,-3.88556,0.0969112,0.114438,0.151762,0,0
DYNG,ar,2024-07-17T00:19:30,USER_IF_WL_SD,G24,G12,-27.9915,0.042578,0.00845755,0.00563279,0,0
DYNG,ar,2024-07-17T00:19:30,USER_IF_WL_SD,G24,G19,30.9102,0.106503,-0.0898075,0.172681,0,0
DYNG,ar,2024-07-17T00:19:30,USER_IF_WL_SD,G24,G25,-0.0253077,0.0755686,-0.0253077,0.0690676,0,0
DYNG,ar,2024-07-17T00:19:30,USER_IF_WL_SD,G24,G32,-11.0266,0.177783,-0.0265639,0.332804,0,0
DYNG,ar,2024-07-17T00:20:00,USER_IF_WL_SD,G24,G06,-3.90408,0.0832283,0.0959179,0.104062,0,0
DYNG,ar,2024-07-17T00:20:00,USER_IF_WL_SD,G24,G12,-27.9852,0.0366016,0.0148345,0.00220075,0,0
DYNG,ar,2024-07-17T00:20:00,USER_IF_WL_SD,G24,G19,30.8933,0.0920576,-0.106689,0.134371,0,0
DYNG,ar,2024-07-17T00:20:00,USER_IF_WL_SD,G24,G25,-0.0207941,0.0647469,-0.0207941,0.040887,0,0
DYNG,ar,2024-07-17T00:20:00,USER_IF_WL_SD,G24,G32,-11.0882,0.151976,-0.0881616,0.288579,0,0
DYNG,ar,2024-07-17T00:20:30,USER_IF_WL_SD,G24,G06,-3.90174,0.0726522,0.0982586,0.0734564,0,0
DYNG,ar,2024-07-17T00:20:30,USER_IF_WL_SD,G24,G11,-50.1404,0.523481,-0.140429,0.613762,0,0
DYNG,ar,2024-07-17T00:20:30,USER_IF_WL_SD,G24,G12,-27.9724,0.0320188,0.0276409,0.000889138,1,1
DYNG,ar,2024-07-17T00:20:30,USER_IF_WL_SD,G24,G19,30.9324,0.0809953,-0.0675648,0.0904001,0,0
DYNG,ar,2024-07-17T00:20:30,USER_IF_WL_SD,G24,G25,0.009681,0.0564859,0.009681,0.023452,0,0
DYNG,ar,2024-07-17T00:20:30,USER_IF_WL_SD,G24,G32,-11.0833,0.132429,-0.0833004,0.24195,0,0
DYNG,ar,2024-07-17T00:20:30,USER_IF_L1_SD_CONDITIONAL,G24,G12,353.373,2.70834,0.372575,0.830761,0,0
DYNG,ar,2024-07-17T00:21:00,USER_IF_WL_SD,G24,G06,-3.90948,0.0646626,0.0905223,0.0499348,0,0
DYNG,ar,2024-07-17T00:21:00,USER_IF_WL_SD,G24,G12,-27.9673,0.028515,0.0327373,0.000364092,1,1
DYNG,ar,2024-07-17T00:21:00,USER_IF_WL_SD,G24,G19,30.9267,0.0725365,-0.0733384,0.0671904,0,0
DYNG,ar,2024-07-17T00:21:00,USER_IF_WL_SD,G24,G25,0.0467192,0.0501416,0.0467192,0.0149508,0,0
DYNG,ar,2024-07-17T00:21:00,USER_IF_WL_SD,G24,G32,-11.0736,0.11735,-0.0735536,0.199888,0,0
DYNG,ar,2024-07-17T00:21:00,USER_IF_L1_SD_CONDITIONAL,G24,G12,353.36,2.62632,0.360375,0.828063,0,0
DYNG,ar,2024-07-17T00:21:30,USER_IF_WL_SD,G24,G06,-3.91503,0.0580888,0.0849721,0.0334382,0,0
DYNG,ar,2024-07-17T00:21:30,USER_IF_WL_SD,G24,G11,-50.3035,0.2623,-0.303545,0.495494,0,0
DYNG,ar,2024-07-17T00:21:30,USER_IF_WL_SD,G24,G12,-27.9674,0.0256565,0.0326239,0.000141768,1,1
DYNG,ar,2024-07-17T00:21:30,USER_IF_WL_SD,G24,G19,30.9592,0.0656439,-0.0407755,0.0444556,0,0
DYNG,ar,2024-07-17T00:21:30,USER_IF_WL_SD,G24,G25,0.0441505,0.0449942,0.0441505,0.00860038,0,0
DYNG,ar,2024-07-17T00:21:30,USER_IF_WL_SD,G24,G32,-11.0542,0.105191,-0.0542265,0.161145,0,0
